no;date;permno;ret_excess;beta;bm;log_mktcap
1;01/01/2020;1;-0.120706575;1.062695743;0.359768412;9.467781908
2;01/01/2020;2;0.027742924;1.122494661;0.738397182;9.501499523
3;01/01/2020;3;0.108444118;0.661783354;0.587294435;8.849860422
4;01/01/2020;4;-0.23456977;1.156939725;0.346433411;10.12624092
5;01/01/2020;5;0.042912469;1.002385027;0.613397525;10.4728639
6;01/01/2020;6;0.050605589;0.963748942;0.604484016;9.813474785
7;01/01/2020;7;-0.057473996;1.22139088;0.558983069;8.38071355
8;01/01/2020;8;-0.054663186;1.295878974;0.539910373;9.597240954
9;01/01/2020;9;-0.0564452;0.770520112;0.514494918;10.41281224
10;01/01/2020;10;-0.089003783;1.202330875;0.561916122;9.279280596
11;01/01/2020;11;-0.04771927;0.873586161;0.396738089;9.40993477
12;01/01/2020;12;-0.099838644;1.026472264;0.435064386;8.830373382
13;01/01/2020;13;-0.077625389;1.096185213;0.399799274;10.59145665
14;01/01/2020;14;0.006445882;1.026635526;0.483411904;9.331361051
15;01/01/2020;15;0.095949406;0.707427108;0.51466563;13.16793765
16;01/01/2020;16;-0.011028549;0.898719644;0.560205652;11.01303942
17;01/01/2020;17;-0.051100951;1.307932647;0.552905553;9.83401268
18;01/01/2020;18;-0.091119542;1.034558724;0.644569584;10.00241647
19;01/01/2020;19;-0.083717168;0.832835215;0.559730929;9.282698017
20;01/01/2020;20;0.241583518;0.868814259;0.625631692;10.28133803
21;01/01/2020;21;0.013408822;1.211513217;0.609744204;10.0072819
22;01/01/2020;22;-0.04906859;1.069216698;0.441153959;8.270299774
23;01/01/2020;23;-0.044054787;0.820562692;0.575130128;8.156526384
24;01/01/2020;24;0.045958944;1.001253042;0.545351434;10.60120303
25;01/01/2020;25;-0.069372025;1.119334102;0.511917823;7.682062429
26;01/01/2020;26;-0.144820491;1.344510362;0.409661229;9.619687926
27;01/01/2020;27;0.057475572;0.823650103;0.558798246;11.6551649
28;01/01/2020;28;-0.102365572;0.924010809;0.506372875;8.337144951
29;01/01/2020;29;-0.00151383;1.199222003;0.464516415;10.29472967
30;01/01/2020;30;-0.09359486;0.908175821;0.592249574;11.56990144
